"Year","Total.Gross","Tickets.Sold","X..of.Movies","Total.Screens","Avg.Ticket.Price"
2015,6233100000,767600000,345,NA,8.12
2014,10360600000,1268100000,698,NA,8.17
2013,10923600000,1343600000,687,NA,8.13
2012,10837400000,1361500000,665,NA,7.96
2011,10174300000,1.283e+09,602,NA,7.93
2010,10565600000,1339100000,536,NA,7.89
2009,10595500000,1412700000,521,NA,7.5
2008,9630700000,1341300000,608,NA,7.18
2007,9663800000,1404600000,631,NA,6.88
2006,9209500000,1.406e+09,608,NA,6.55
2005,8840500000,1379200000,547,NA,6.41
2004,9380500000,1510500000,551,NA,6.21
2003,9239700000,1532300000,506,NA,6.03
2002,9.155e+09,1575700000,479,35592,5.81
2001,8412500000,1487300000,482,36764,5.66
2000,7.661e+09,1420800000,478,37396,5.39
1999,7.448e+09,1465200000,461,37185,5.08
1998,6.949e+09,1480700000,509,34186,4.69
1997,6365900000,1387700000,510,31640,4.59
1996,5911500000,1338600000,471,29690,4.42
1995,5493500000,1262600000,411,27805,4.35
1994,5396200000,1291700000,453,26586,4.18
1993,5154200000,1.244e+09,462,25737,4.14
1992,4.871e+09,1173200000,480,25105,4.15
1991,4803200000,1140600000,458,24570,4.21
1990,5021800000,1188600000,410,23689,4.23
1989,5033400000,1262800000,502,23132,3.97
1988,4458400000,1084800000,510,23234,4.11
1987,4252900000,1088500000,509,23555,3.91
1986,3.778e+09,1017200000,451,22765,3.71
1985,3749200000,1056100000,470,21147,3.55
1984,4.031e+09,1.199e+09,536,20200,3.36
1983,3.766e+09,1.197e+09,495,18884,3.15
1982,3.453e+09,1.175e+09,428,18020,2.94
1981,2.966e+09,1.067e+09,173,18040,2.78
1980,2.749e+09,1.022e+09,161,17590,2.69
